id,status,request_type,description,created,closed,response_hours,sla_breach,latitude,longitude,location_detail
3020464,Closed,Overgrown Grass,Overgrown and uncared for yard. Tree limbs piled and not taken out for some time.,2022-10-24 12:58:00,,,0,29.6513317,-82.3672744,"2927 SW 1ST AVE, Gainesville, FL, 32607"
4243944,Archived,Trash/Debris (Public Property),Trash scattered on street and in front yard.  Trash bins left on the street for more than two months,2018-03-16 12:41:00,2018-03-19 06:29:00,65.8,0,29.6491107,-82.3615691,321 SW 26 ST
4249653,Archived,Streetlight/Lamp,The streetlights at this location are very dim and the school crossing guard is nearly invisible I the intersection,2018-03-19 07:39:00,2018-03-21 12:20:00,52.68333333333333,0,29.6961274,-82.3570571,4500 NW 24TH BLVD
4254355,Archived,Road Repair,"Tree roots have broken up the driveway and driveway aprons.  I am going to repair the driveway, but want to be sure about repairing the apron if that is under the control  / oversight of the city.",2018-03-20 07:53:00,2018-03-27 07:36:00,167.71666666666667,1,29.6736413,-82.3574374,2220 NW 23RD TERR
4274199,Archived,Vehicle (Abandoned/Non-Operational),The vehicle is non operational and has been in its abandoned state for over a year.,2018-03-26 18:31:00,2018-03-27 14:19:00,19.8,0,29.6362976372134,-82.3864263705986,4174 SW 17TH PL
4309312,Archived,Streetlight/Lamp,,2018-04-06 02:54:00,2018-04-10 12:34:00,105.66666666666667,1,29.631575985426,-82.3807858165764,"3718 SW 24TH AVE
  32607
UNITED STATES"
4315071,Archived,Trash/Debris (Public Property),Someone dumped an old couch and busted cabinets several weeks ago in this location.,2018-04-08 11:01:00,2018-04-09 06:58:00,19.95,0,29.6477933948713,-82.3856132064527,4000-4048 SW 5TH AVE
4325325,Archived,Vehicle (Abandoned/Non-Operational),,2018-04-11 10:37:00,2018-04-11 14:03:00,3.433333333333333,0,29.6533582,-82.343771,1601-1637 NW 2ND AVE
4324960,Archived,Road Repair,Major pothole from recent storm. On west side of road.,2018-04-11 09:09:00,2018-04-12 17:00:00,31.85,0,29.6478493403245,-82.4020068679517,690 SW 62ND BLVD
4322606,Archived,Trash/Debris (Private Property),Illegal dumping,2018-04-10 16:42:00,2018-04-11 09:15:00,16.55,0,29.6484994898186,-82.3032543808222,1624-1698 SE 4TH AVE
4326047,Archived,Vehicle (Abandoned/Non-Operational),,2018-04-11 13:21:00,2018-04-11 15:00:00,1.65,0,29.6998517,-82.3649465,2928 NW 49TH PL
4326812,Archived,Vehicle (Abandoned/Non-Operational),,2018-04-11 16:53:00,2018-04-13 14:47:00,45.9,0,29.6943897,-82.3499764,2028 NW 43RD PL
4341722,Archived,Residential Rental Maintenance,Broken Window in master Bedroom and all windows on the house screwed shut.,2018-04-16 15:28:00,2018-04-17 12:58:00,21.5,0,29.6650375,-82.360764,1339 NW 25TH TERR
4347056,Archived,Trash/Debris (Private Property),Piles of bagged debris on driveway,2018-04-17 21:07:00,2018-04-18 16:35:00,19.466666666666665,0,29.6894712,-82.3741111,3926 NW 34TH DR
4379289,Archived,Road Repair,"Four potholes on NW 34th Ave. between NW 21st St. and NW 20th St. 
Pothole #1 = ~47” diameter. 
Pothole #2 & #3 = ~14"" diamater
Pothole #4 = ~20"" diamater",2018-04-26 15:00:00,2018-05-03 11:13:00,164.21666666666667,1,29.6839383647779,-82.3514702547353,2053 NW 34TH AVE  32605 UNITED STATES
4389708,Archived,Road Repair,,2018-04-30 11:42:00,2018-08-30 18:51:00,2935.15,1,29.6663436889648,-82.3833465576172,3924 NW 15TH AVE
4413887,Archived,Road Repair,Growing depression in roadway,2018-05-06 12:37:00,2018-05-07 16:21:00,27.733333333333334,0,29.6883806,-82.3245235,ORIDA 222
4400939,Archived,General Code Issue,wrecked Acura,2018-05-02 16:47:00,2018-05-03 14:00:00,21.216666666666665,0,29.6919691,-82.3495758,4135 NW 20TH TERR
4422001,Archived,General Code Issue,"Large sections of missing pavement in rental entrances that are unsightly, hold water and attract mosquitos, and are potential trip hazards.",2018-05-08 12:51:00,2018-05-08 16:16:00,3.4166666666666665,0,29.6697349512652,-82.3335418701172,800 NW 19TH AVE
4431514,Archived,Vehicle (Abandoned/Non-Operational),,2018-05-10 11:24:00,2018-05-11 08:30:00,21.1,0,29.6621566,-82.3623357,2616 NW 11TH AVE
4430633,Archived,Traffic/Pedestrian Signal,traffic signals out on north main street.  all of them.,2018-05-10 09:09:00,2018-05-10 13:56:00,4.783333333333333,0,29.6533316297907,-82.3249658569694,2-98 NE 2ND AVE
4440025,Archived,Traffic/Pedestrian Signal,,2018-05-12 17:50:00,2018-05-14 06:49:00,36.983333333333334,0,29.6499310653586,-82.3605143820004,262 VILLAGE DR
4437480,Archived,Tree Planting Suggestion,Dead tree in median across from Veterans of Foreign Wars Post 2811. Could a replacement tree please be planted?,2018-05-11 18:50:00,2020-03-04 13:00:00,15906.166666666666,1,29.6607719480885,-82.3056530686152,
4448026,Archived,Trash/Debris (Public Property),"Bag of garbage on northbound side of NE Waldo Rd., just north of NE 3rd Ave. it's been there since last week.",2018-05-15 10:10:00,2018-05-15 11:24:00,1.2333333333333334,0,29.6542407581735,-82.3097714988377,331-425 NE STATE RD 24
4452544,Archived,Trash/Debris (Public Property),a Republic garbage truck at 730 am heading east on NW 7th ave was obviously speeding and very clearly holding his phone up on the dashboard and texting while driving in a neighborhood witnessed while walking my daughter to school and many other children in the area. NOT ACCEPTABLE!!,2018-05-16 08:12:00,2018-05-23 06:33:00,166.35,1,29.6577918,-82.3447402,1700 NW 7TH AVE
4500499,Archived,Trash/Debris (Public Property),Trash on SE 2nd Place,2018-05-29 17:45:00,2018-05-30 07:11:00,13.433333333333334,0,29.6487917,-82.2970013,2112 SE 3RD PL
4500385,Archived,Mosquito Control,Because of neighbor overgrown yard,2018-05-29 17:08:00,2018-05-31 16:00:00,46.86666666666667,0,29.6862261,-82.3288475,439 NW 37TH AVE
4511152,Archived,Traffic/Pedestrian Signal,"Left turn signal from Newberry Rd to go to o2bkids (in front of bj's) is taking too long to turn green, causing overspill of turn lane and a backup into a travel lane, waited at this light for 15 minutes at around 6:15 today.",2018-05-31 18:44:00,2018-06-04 08:41:00,85.95,1,29.6596395965081,-82.41372308721,6701-6707 -26
4532235,Archived,Parking in Yard (Other Than Driveway),"TENANT FROM #320  PARKS REGULARLY ON LAWN AT  #324 WITHOUT DECAL
 THIS IS A DECAL RQUIRED AREA!
  VEHICKE IS A SILVER JAPANESE MAKE SEDAN
     FLORIDA LICENSE   465-PHL

A CHRONIC OFFEVDER!!  NO PARKING/DECAL SIGN JUST 10 YEARDS SOUTH.  HELP, PLEASE
  THANK YOU",2018-06-06 12:39:00,2018-06-08 11:35:00,46.93333333333333,0,29.6547947,-82.3596648,324  NW   24  TH  ST   32607
4555839,Archived,Maintenance Ditch/Drainage/Flooding,Serious erosion along the side of NW 27TH TER.,2018-06-12 18:19:00,2018-06-14 18:10:00,47.85,0,29.6548990318799,-82.3640416010747,418 NW 27TH TER
4547785,Archived,Grass (Overgrown),"Yard need being taken care, house appears to be vacant",2018-06-10 21:53:00,2018-06-12 11:37:00,37.733333333333334,0,29.654145,-82.3651749,201 NW 28TH TERR
4559968,Archived,Street Sign,10th Avenue East was recently repaved and now drivers are going over the speed limit which is already too high at 30 MPH. This is a very child friendly street with children from at least 6 houses locally in or crossing this road. Traffic toward 9th Street tends to speed above 30 and there is a great danger to the neighborhood kids. Please install more signage and adjust the speed limits to 20 MPH.,2018-06-13 14:38:00,2018-06-13 16:19:00,1.6833333333333333,0,29.6607771,-82.3174067,NE 10TH AVE AND 7TH ST
4568879,Archived,Trash/Debris (Public Property),Four solid waste garbage cans and one store-bought trash can blocking sidewalk  on SW 1st St. between SW 1st Ave. and SW 2nd Ave. Could these garbage cans please be moved from the public sidewalk?,2018-06-15 15:10:00,2018-06-18 11:03:00,67.88333333333334,0,29.6508875347628,-82.3258008355776,101 SW 1 ST
4568912,Archived,Trash/Debris (Private Property),Garbage has been in front of old Sweet Mel's location for several months now. Could the owner of this property please clean it up. Located in the center of downtown Gainesville at the southwest side of the Main St. and University Ave. intersection.,2018-06-15 15:20:00,2018-06-19 15:30:00,96.16666666666667,1,29.6519056409493,-82.3252360880683,1 W UNIVERSITY AVE
4574935,Archived,Road Repair,located on 18th place between 4410 and 4420.  Looks like a wash out from the drainage pipe.  Asphault has broken thru and you can now see a cavity underneath.,2018-06-18 08:34:00,2018-06-19 15:30:00,30.933333333333334,0,29.6692566,-82.3903644,4410 NW 18TH PL
4576723,Archived,Vehicle (Abandoned/Non-Operational),abandoned black vehicle in front of building 1300 for 6+ months,2018-06-18 14:23:00,2018-06-19 10:25:00,20.033333333333335,0,29.619643,-82.360953,2635 SW 35TH PL
4573673,Archived,Trash/Debris (Private Property),Litter in open area next to jacks.,2018-06-17 14:43:00,2018-06-19 13:40:00,46.95,0,29.6511211395264,-82.325065612793,20 S MAIN ST
4598606,Archived,Road Repair,Potholes all over the road and bumps causing car damage,2018-06-24 13:09:00,2018-06-26 10:55:00,45.766666666666666,0,29.6720499764508,-82.3394131479404,1320 NW 21 AVE
4602337,Archived,Parking in Yard (Other Than Driveway),Cars have been and are parking in the yard,2018-06-25 15:33:00,2018-06-27 08:51:00,41.3,0,29.6536093012448,-82.3779661,207 NW 36TH DR
4602318,Archived,Right-of-Way Maintenance,There is still a traffic construction barrel laying in the median across from this house location.  I reported this back on 4/4/18.  Issue ID #4302905.  Who's responsible for removing it?,2018-06-25 15:30:00,2018-06-28 15:30:00,72.0,0,29.6522051012431,-82.3762295,7 NW 36TH ST
4629871,Archived,Sidewalk Repair,Work at the Hogtown creek overpass on NW 22nd Street last week resulted in serious damage to the roadway and sidewalks.  The excavators were obviously very heavy and cracked and buckled the sidewalk and road above the bridge.  This needs to be fixed.  Also the area near the creek was stripped of all vegetation and it looks terrible now.  Is there a plan to add new vegetation?,2018-07-02 18:16:00,2018-07-05 12:00:00,65.73333333333333,0,29.6636080006261,-82.3535877994751,1125 NW 22 ST
4634851,Archived,Road Repair,Road breaking away from sewer,2018-07-03 19:19:00,2018-07-12 22:30:00,219.18333333333334,1,29.684438456184,-82.3448120727539,1701 NW 34 PL
4634413,Archived,Street Sign,"At the new corner of SW 3rd Avenue and SW 6th Street, the stop sign reads SW 6th Ave but it is street. This needs to be corrected.",2018-07-03 16:36:00,2018-07-10 15:44:00,167.13333333333333,1,29.6489785,-82.3309464,SW 3RD AVE AND SW 6TH ST
4639728,Archived,Grass (Overgrown),Grass very tall,2018-07-05 08:58:00,2018-07-05 13:15:00,4.283333333333333,0,29.695196,-82.3633912,4418 NW 27TH TERR
5015507,Archived,Request for New Streetlight/Lamp,,2018-10-12 19:07:00,2018-10-17 12:16:00,113.15,1,29.6528425,-82.3323997,101 NW 7 TERR
4645003,Archived,Vehicle (Abandoned/Non-Operational),If this was the Duckpond neighborhood something would have been done by now,2018-07-06 11:36:00,2018-07-06 12:37:00,1.0166666666666666,0,29.6684894561768,-82.3019027709961,1819 NE 16TH WAY
4650923,Archived,Right-of-Way Maintenance,City parcel 15118-010-000 is overgrown and in need of maintenance,2018-07-08 12:29:00,2018-07-09 08:09:00,19.666666666666668,0,29.6538944244385,-82.3544311523438,2248 NW 2ND AVE
4669792,Archived,Vehicle (Abandoned/Non-Operational),This vehicle has been here for years with out tag would like the city to help do there part,2018-07-12 17:20:00,2018-07-13 12:03:00,18.716666666666665,0,29.6682940012633,-82.301089,1817 NE 17TH WAY
4674002,Archived,Right-of-Way Maintenance,southbound traffic on NW 12 the St cannot see to cross the street due to overgrown weeds,2018-07-13 15:55:00,2018-07-16 16:04:00,72.15,1,29.666650864493,-82.337185330689,1201 NW 16TH AVE
4703230,Archived,Road Repair,In student area do please fix before fall residents move in.,2018-07-21 10:34:00,2018-07-24 10:40:00,72.1,1,29.6475474164156,-82.3385621800157,1229 SW 5TH AVE
4715394,Archived,Streetlight/Lamp,out pole # 46007,2018-07-24 20:47:00,2018-07-27 10:52:00,62.083333333333336,0,29.6555205,-82.3435769,1535 NW 5TH AVE
4725056,Archived,Streetlight/Lamp,photocell fell off streetlight.,2018-07-26 21:26:00,2018-08-03 12:03:00,182.61666666666667,1,29.6397047,-82.4540862,1409 SW 105TH TERR
4747130,Archived,Other,There is a large calico cat that has been abandoned by it's owner who moved out at the end of July 2018. It is infested with fleas and eating garbage. Has a collar but the name on the collar is the person who just moved away.,2018-08-01 13:53:00,2018-08-01 14:32:00,0.65,0,29.6540412912454,-82.3164443969726,732 NE 3RD AVE
4773733,Archived,Residential Rental Maintenance,,2018-08-08 14:34:00,2018-08-08 14:42:00,0.13333333333333333,0,29.6603830308272,-82.3172634973755,
4779191,Archived,Street Sign,Stop sign knocked down,2018-08-09 19:42:00,2018-08-21 12:18:00,280.6,1,29.6620331754208,-82.3330490600586,804 NW 11TH AVE
4779185,Archived,Street Sign,"""Oakview"" neighborhood sign on the NE corner of NW 10th Ave and 8th St missing. First noticed it missing at 6pm 8/9.",2018-08-09 19:40:00,2018-08-09 19:56:00,0.26666666666666666,0,29.6612760234814,-82.3327922087587,730 NW 10TH AVE
4787785,Archived,Other,Bell South fiber optic pole is knocked over and wires are exposed,2018-08-12 20:37:00,2018-08-13 11:41:00,15.066666666666666,0,29.6905452964976,-82.3542206321424,4005 NW 22ND DR
4800726,Archived,Trash/Debris (Private Property),"NE 1st between 8th Ave and 9th Ave is covered with garbage including hypodermic needles and liquor bottles. This is a public health issue. The location is TWO BLOCKS from City Code Enforcement offices. They must drive by every day, why is this not addressed? Sad!",2018-08-15 15:58:00,2018-08-21 15:05:00,143.11666666666667,1,29.6593137585303,-82.3243091957702,14 NE 8TH AVE
4814498,Archived,Road Repair,2-3 foot pot hole directly in front of the drive way of 915 NE 8th Ave.,2018-08-19 19:05:00,2018-08-20 10:20:00,15.25,0,29.6592783333333,-82.31408,915 NE 8TH AVE
4825029,Archived,Road Repair,Potholes have opened on 52 Terrace,2018-08-22 11:04:00,2018-08-28 12:50:00,145.76666666666668,1,29.6881561180314,-82.3223845273357,1307 NW 52ND TERR
4844942,Archived,Trash/Debris (Private Property),"Growing pile of black trash bags and cardboard boxes on the lawn next to the sidewalk, just inside the chainlink fence that surrounds the front yard.  The smell is horrible.",2018-08-28 09:01:00,2018-08-29 16:13:00,31.2,0,29.6658615,-82.3279968,310 NW 15TH AVE
6197887,Archived,Other,,2019-07-13 20:56:00,2019-07-22 09:01:00,204.08333333333334,1,29.6506841793065,-82.326322823881,100 SW 2ND AVE
4847251,Archived,Other,"report of a dead, skinned alligator near or in the road in this vicinity.",2018-08-28 16:21:00,2018-08-29 07:24:00,15.05,0,29.6207667361844,-82.3399954507714,3504 SW 13TH ST
4851498,Archived,Traffic/Pedestrian Signal,,2018-08-29 15:11:00,2018-08-30 10:12:00,19.016666666666666,0,29.6238157,-82.3383581,2901 SW 13TH ST
4855949,Archived,Trash/Debris (Public Property),several signs on  62nd ave across from Wal-Mart...again,2018-08-30 14:15:00,2018-09-06 06:19:00,160.06666666666666,1,29.7128183015659,-82.3558514152235,6358 NW 23RD ST
4857390,Archived,Maintenance Ditch/Drainage/Flooding,Water backing up after rain. Almost coming over road.,2018-08-30 22:47:00,2018-08-31 15:16:00,16.483333333333334,0,29.6699771,-82.305827,NE 15TH ST & NE 19TH PL
4866183,Archived,Tree/Limbs (Public Property),extremely dead tree-causing rodents to live in a safe pathway to the DNA bridge. Please help!,2018-09-03 12:22:00,2018-09-04 16:10:00,27.8,0,29.6407164,-82.3381527,1210 SW 11TH AVE
4869230,Archived,Other,,2018-09-04 12:00:00,2018-09-11 10:40:00,166.66666666666666,1,29.6444536,-82.3221981,DEPOT PARK
4878661,Archived,Grass (Overgrown),Rarely mows/trims yard. Very tall,2018-09-06 10:25:00,2018-09-06 11:39:00,1.2333333333333334,0,29.6942015,-82.3633065,4329 NW 27TH TERR
4892623,Archived,Vehicle (Abandoned/Non-Operational),"White GMC

No Tag",2018-09-10 14:40:00,2018-09-12 08:51:00,42.18333333333333,0,29.6780892,-82.3516843,2813 NW 21 TERR
4892752,Archived,Grass (Overgrown),,2018-09-10 15:08:00,2018-09-12 09:11:00,42.05,0,29.6778971,-82.3534219,2160 NW 28TH AVE
4902442,Archived,Tree/Limbs (Public Property),Entire tree has broken and is suspended by another tree. Potential to fall onto power lines or on property,2018-09-12 15:51:00,2018-09-13 13:10:00,21.316666666666666,0,29.6591737247511,-82.4014675478851,710 NW 54TH TERR
4916955,Archived,General Code Issue,Crowing rooster at this house.  Crows all morning and randomly throughout the day.,2018-09-17 08:49:00,2018-09-18 17:44:00,32.916666666666664,0,29.6664008,-82.3275332,229 NW 16TH AVE
4936233,Archived,Trash/Debris (Private Property),,2018-09-21 13:48:00,2018-09-26 07:40:00,113.86666666666666,1,29.6874779,-82.3372992,1213 NW 39TH AVE
4943913,Archived,Trash/Debris (Private Property),Apparently not all was removed.  Still a couple of toilets and other debris still remain.,2018-09-24 15:46:00,2018-09-26 09:04:00,41.3,0,29.6469909,-82.3841516,3941  SW 5TH PL
4961645,Archived,General Code Issue,"Large healthy-looking magnolia tree was cut down from the front yard, near the sidewalk and street.  This Southern magnolia was likely 2 feet in diameter.  I am not sure if the owner applied for a permit or why this healthy tree would be approved for removal if a permit was obtained.  Please check into the removal of this tree.",2018-09-28 17:38:00,2018-10-24 11:11:00,617.55,1,29.6664008,-82.3275332,229 NW 16TH AVE
4981327,Archived,Residential Rental Maintenance,"Laundry room at Eastside Gardens is a hazard, and full of code violations. Electrical wires hang openly through and around rafters/ceiling. Wood is rotted out and falling down. The washers leak water both inside the building and outside the building. I have contacted the landlord as well as the property managers several times, and they refuse to fix it.",2018-10-04 13:57:00,2018-10-16 08:30:00,282.55,1,29.654083,-82.3144085,325 NE 9TH ST
4998299,Archived,Tree/Limbs (Public Property),Dead pine tree needs to be removed.,2018-10-09 11:36:00,2018-10-10 15:20:00,27.733333333333334,0,29.6522598251614,-82.3579711914062,2356 W UNIVERSITY AVE
5030210,Archived,General Police Enforcement,There are several people loitering in front of the buildings on 10th ave.,2018-10-17 12:41:00,2018-10-21 11:29:00,94.8,1,29.6610776720889,-82.3385646240581,1239 NW 10TH AVE
5022279,Archived,Trash/Debris (Public Property),Trashed couch on side of the road,2018-10-15 15:15:00,2018-10-16 14:17:00,23.033333333333335,0,29.7139873,-82.3616538,6431 NW 26TH TERR
5056384,Archived,Road Repair,"Utility trench in SE 10th Avenue has been left unfilled,and unpaved for many months. needs to be repaved.",2018-10-25 11:09:00,2018-10-30 10:40:00,119.51666666666667,1,29.6415459570192,-82.3196523223585,1005 SE 4 ST
5058905,Archived,Noise Complaint,,2018-10-26 02:37:00,2018-10-29 08:33:00,77.93333333333334,1,29.6335119,-82.3358887,1100 SW 20TH PL
5070151,Archived,Residential Rental Maintenance,front center of house. hose spigot continually leaking,2018-10-30 07:06:00,2018-10-30 09:19:00,2.216666666666667,0,29.6795721812885,-82.3140043392777,2918 NE 10TH ST
5070514,Archived,General Code Issue,"Issues with wiring, roof, etc",2018-10-30 09:08:00,2018-10-30 09:23:00,0.25,0,29.6511335,-82.3838408,3929 SW 1ST AVE
5131055,Archived,Tree/Limbs (Public Property),,2018-11-19 10:15:00,2018-12-03 10:34:00,336.31666666666666,1,29.6524442,-82.3583167,2356 W UNIVERSITY
5149891,Archived,Parking Enforcement,1202 tenants & guests consistently block sidewalk by having vehicles extend over their driveway.,2018-11-26 23:00:00,2018-11-28 06:38:00,31.633333333333333,0,29.6513499,-82.3372939,1202 SW 1 AVE
5154937,Archived,Trash/Debris (Public Property),Please send code out to deal with.  3rd and 4th right hand turns when you come in.  The tenants don't put it out and the HOA hides it behind the fences.  It is all out in parking spots. it is nasty. WCA should not be picking that up.  Hopefully officer Rick still works that zone. he does great out there.,2018-11-28 08:05:00,2018-11-28 09:13:00,1.1333333333333333,0,29.63232,-82.3836592,MILLRUN SW 20TH
5151191,Archived,Grass (Overgrown),I reported this a few weeks back. The front yard still looks like a jungle and has not been cut. Why is this allowed to go on without corrective action? This is a rental house and the owner should be held responsible.,2018-11-27 08:59:00,2018-11-27 14:04:00,5.083333333333333,0,29.6322598,-82.337432,1221 SW 21 AVE
5170631,Archived,Street Sign,Private sign attached to stop signs,2018-12-03 11:53:00,2018-12-03 13:27:00,1.5666666666666667,0,29.6535900281112,-82.3307162003958,145–299 NW 6TH ST
5169457,Archived,Right-of-Way Maintenance,DOT has yet to do anything about this hedge blocking the view of oncoming traffic.  Can you please contact them again or give me the contact info so I can bug them.,2018-12-03 07:40:00,2018-12-04 12:28:00,28.8,0,29.6593232,-82.4037063,722 NW 57TH ST
5184306,Archived,Street Sign,"REFERENCE CAD CALL 120618-1077  
GPD CASE NUMBER GPD18-0022446
THE TRUCK ROUTE SIGN WAS DAMAGED AND KNOCKED DOWN. 
WILL BE ON THE NORTH SIDE OF THE ROADWAY BY SIDEWALK JUST EAST OF THE NW 12TH DR / NW 39TH AV INTERSECTION. 
ANY QUESTIONS PLEASE CONTACT 352-955-1818",2018-12-07 00:46:00,2018-12-10 07:00:00,78.23333333333333,1,29.6885008,-82.338918,NW 39TH AV / NW 13TH ST
5248598,Archived,Noise Complaint,The Gainesville animal Hospital boards dogs without the proper facilities. They are barking all through the night and early morning. They clinic has homes all around them and the dogs are kept outside.,2018-12-30 08:41:00,2019-02-08 13:58:00,965.2833333333333,1,29.6756865,-82.3307684,NW 6TH ST
5244259,Archived,Other,All kinds of cats by Outreach. Lauren Cava can be reached at 352-377-7212,2018-12-28 09:18:00,2018-12-28 15:10:00,5.866666666666666,0,29.6516344,-82.3248262,CITY WIDE
5250462,Archived,Street Sign,The street sign at the northwest corner of NW 4th St and NW 9TH AVENUE is turned at 90 degrees so it indicates that 4th st is 9th ave and vice-versa,2018-12-31 10:24:00,2019-01-08 12:53:00,194.48333333333332,1,29.6601892,-82.3288443,400 NW 9TH AVE
5277925,Archived,Road Repair,,2019-01-09 09:38:00,2019-01-09 14:20:00,4.7,0,29.646216,-82.336923,615 SW 12TH ST
5280122,Archived,Road Repair,,2019-01-09 21:03:00,2019-01-14 14:30:00,113.45,1,29.6505127346085,-82.3873436450958,4100-4198 SW 2ND AVE
5296312,Archived,Request for New Streetlight/Lamp,,2019-01-15 17:26:00,2019-02-08 10:40:00,569.2333333333333,1,29.6852325952409,-82.2343151603407,NW 23RD TERR AND NW 27 TH AVE
5298558,Archived,Vehicle (Abandoned/Non-Operational),vehicle reported abandoned and has not moved since 12/19 white gmc sierra florida tag irp g32,2019-01-16 12:53:00,2019-01-16 15:32:00,2.65,0,29.7024339,-82.3931513,4719 NW 53RD AVE
5335883,Archived,Road Repair,Multiple potholes are back after all the rain.,2019-01-29 08:04:00,2019-02-05 18:32:00,178.46666666666667,1,29.6335905278719,-82.3892823792994,2002-2098 SW 43RD ST
5387265,Archived,Trash/Debris (Private Property),"trash, and construction debris littered all over the yard.",2019-02-11 09:26:00,2019-02-12 07:32:00,22.1,0,29.6513042804502,-82.3346861824393,928 SW 1 AVE
5421148,Archived,Trash/Debris (Public Property),,2019-02-19 12:49:00,2019-02-20 07:14:00,18.416666666666668,0,29.652199081378,-82.3407811671496,1402 -26
5460219,Archived,Streetlight/Lamp,Light out at SW corner of SE 1st street  and SE 2nd Ave,2019-02-27 22:01:00,2019-03-13 06:23:00,320.3666666666667,1,29.6501974646562,-82.324034154448,1–99 SE 2ND AVE
5460119,Archived,Streetlight/Lamp,Light out,2019-02-27 21:49:00,2019-03-05 10:05:00,132.26666666666668,1,29.6521279480969,-82.3260816275513,120 W UNIVERSITY AVE
5478097,Archived,General Code Issue,"lack of maintenance on home exterior, lawn overgrown, debris building up home roof",2019-03-04 10:13:00,2019-03-05 06:30:00,20.283333333333335,0,29.6923367,-82.3583137,4414  ALPINE DR
5486204,Archived,Grass (Overgrown),Overgrowth blocking most of sidewalk.,2019-03-05 20:12:00,2019-03-06 08:04:00,11.866666666666667,0,29.6550757934054,-82.3280032239976,412 NW 3RD ST
5536690,Archived,Trash/Debris (Public Property),Recycling has not been picked up in our community. Also some large trash present needing pickup (Furniture),2019-03-15 08:05:00,2019-03-18 07:38:00,71.55,0,29.632579,-82.391131,4469 SW 21ST LN
5539869,Archived,Vehicle (Abandoned/Non-Operational),"Abandoned commercial vehicle parked in condo, no plate displayed.",2019-03-15 18:10:00,2019-03-18 08:42:00,62.53333333333333,0,29.6728881761295,-82.3429843430028,2211 NW 16TH TER
5553745,Archived,Streetlight/Lamp,"All public lights are out on west side of Main Street, on the same block as Rip’s Dry cleaning",2019-03-18 21:48:00,2019-05-29 08:42:00,1714.9,1,29.6542142231089,-82.3251429375907,302 N MAIN ST
5564514,Archived,Residential Rental Maintenance,The house is contaminated with mold.,2019-03-20 11:50:00,2019-03-20 12:37:00,0.7833333333333333,0,29.6670424,-82.3067984,1422 NE 16TH TERR
5601316,Archived,Street Sign,"the stop sign is down, it is also dirty/moldy. Please  straighten and put back up as well as clean the stop sign.",2019-03-27 13:59:00,2019-03-27 14:16:00,0.2833333333333333,0,29.667918,-82.332144,1710 NW 7TH ST
5608569,Archived,Trash/Debris (Private Property),Front yard full of party debris,2019-03-28 19:38:00,2019-03-29 06:52:00,11.233333333333333,0,29.6561069827161,-82.3539271679399,2205 NW 5TH PL
6438917,Archived,Tree Planting Suggestion,Content blocked by rejections,2019-08-08 17:05:00,2019-08-09 11:59:00,18.9,0,29.6578574,-82.4155135,6855 NEWBERRY RD
5636174,Archived,Vehicle (Abandoned/Non-Operational),There are one or more inoperable vehicles at this address with missing or expired tags.,2019-04-01 16:18:00,2019-04-02 06:35:00,14.283333333333333,0,29.6697378,-82.3162231,1909 NE 7TH TERR
5674682,Archived,Trash/Debris (Private Property),Trash all over front yard,2019-04-09 07:44:00,2019-04-09 15:32:00,7.8,0,29.646307462854,-82.3106931590161,606 SE 12TH ST
5683695,Archived,Building (Abandoned/Damaged),There is only 1/2 of a roof on the house at 237 SW 4th Avenue.,2019-04-10 16:42:00,2019-04-11 06:51:00,14.15,0,29.6481507,-82.327836,237 SW 4TH AVE
5720260,Archived,Parking Enforcement,Cars are constantly parking outside of the allowable area. This is making it difficult to make turns as the cars are very close to the intersection. Additional photos in comments.,2019-04-18 07:51:00,2019-05-20 11:32:00,771.6833333333333,1,29.6538305505997,-82.342705,220 NW 15TH TER
5715167,Archived,Street Sign,Bus stop sign down due to vehicle hitting it. By Firestone Bldg on N. Main.,2019-04-17 10:46:00,2019-05-08 07:14:00,500.46666666666664,1,29.6586634768515,-82.3249630242309,755 N MAIN ST
5762531,Archived,General Code Issue,Four or more cars parked at house overnight.,2019-04-26 13:31:00,2019-04-26 17:04:00,3.55,0,29.6607096154989,-82.3402043282014,1326 NW 9TH AVE
5750097,Archived,Other,"Small alligator never seen in this water
It could crawl up onto land",2019-04-24 12:15:00,2019-04-30 10:26:00,142.18333333333334,1,29.6771152,-82.3102123,2711 NE 12TH ST
5778283,Archived,General Code Issue,Strong smell of human feces in the area between Sb and the business to the left when facing building. probably behind the black fencing.,2019-04-30 08:26:00,2019-04-30 13:52:00,5.433333333333334,0,29.6502085241546,-82.3238965241546,201 SE 1ST ST
5797020,Archived,Traffic/Pedestrian Signal,Westbound red light out,2019-05-03 07:09:00,2019-05-06 06:44:00,71.58333333333333,0,29.6774072,-82.3969089,2700 NW 51ST ST  32605 UNITED STATES
5804028,Archived,Traffic/Pedestrian Signal,,2019-05-04 21:14:00,2019-05-06 15:02:00,41.8,0,29.6525546677522,-82.3724043834411,NW 34TH ST
5806297,Archived,Maintenance Ditch/Drainage/Flooding,"The ditch needs to be dug out, its clogged, and hurricane season is coming",2019-05-05 18:24:00,2019-05-09 14:00:00,91.6,1,29.654902,-82.384258,417C NW 39 RD
